;), 23.gif, 16, 16, ;)
:), 1.gif, 16, 16, :)
:mdr, 39.gif, 16, 16, :mdr
:noel, 11.gif, 16, 16, :noel
:question, 2.gif, 26, 24, :question
:oO, 57.gif, 16, 16, :oO
